# location_in_nm,avg_pixel_intensity_for_each_row
1.210025791078805923e+00,1.295302153464548428e+04
1.223470522090792656e+00,1.295285858520453621e+04
1.236915253102779388e+00,1.281828081308935543e+04
1.250359984114766121e+00,1.252860446204549953e+04
1.263804715126752853e+00,1.209515155325738851e+04
1.277249446138739586e+00,1.175783536391251801e+04
1.290694177150726318e+00,1.149292699116168842e+04
1.304138908162713051e+00,1.140556250077986442e+04
1.317583639174699783e+00,1.148915429705492716e+04
1.331028370186686516e+00,1.170094434797867325e+04
1.344473101198673248e+00,1.189425945063394101e+04
1.357917832210659981e+00,1.196939551345289874e+04
1.371362563222646713e+00,1.189757080677979502e+04
1.384807294234633446e+00,1.168837508314337538e+04
1.398252025246620178e+00,1.128821937421961775e+04
1.411696756258606911e+00,1.091109057512562686e+04
1.425141487270593643e+00,1.060351894742231707e+04
1.438586218282580376e+00,1.041225730970886798e+04
1.452030949294567108e+00,1.040183682162154946e+04
1.465475680306553841e+00,1.056744834912589977e+04
1.478920411318540573e+00,1.077284228456513301e+04
1.492365142330527306e+00,1.089093056997913664e+04
1.505809873342514038e+00,1.089169726429041111e+04
1.519254604354500771e+00,1.076668482885405501e+04
1.532699335366487503e+00,1.044869070904134605e+04
1.546144066378474236e+00,1.006641955237878392e+04
1.559588797390460968e+00,9.753709016001437703e+03
1.573033528402447701e+00,9.512498063328452190e+03
1.586478259414434433e+00,9.422112303763613454e+03
1.599922990426421165e+00,9.500879852121244767e+03
1.613367721438407898e+00,9.721715449114004514e+03
1.626812452450394630e+00,9.863344519373717048e+03
1.640257183462381363e+00,9.911063642954564784e+03
1.653701914474368095e+00,9.849681795573525960e+03
1.667146645486354828e+00,9.632879079019647179e+03
1.680591376498341560e+00,9.268414509935670139e+03
1.694036107510328293e+00,8.971902707539942639e+03
1.707480838522315025e+00,8.701369976645015413e+03
1.720925569534301758e+00,8.571735948174971782e+03
1.734370300546288490e+00,8.559171722423405299e+03
1.747815031558275223e+00,8.737611942193496361e+03
1.761259762570261955e+00,8.917558076251154489e+03
1.774704493582248688e+00,8.995585970224454286e+03
1.788149224594235420e+00,8.973514349495837450e+03
1.801593955606222153e+00,8.851577098785961425e+03
1.815038686618208885e+00,8.550041411250704186e+03
1.828483417630195618e+00,8.266401063808116305e+03
1.841928148642182350e+00,8.017465313272830826e+03
1.855372879654169083e+00,7.863832920954950168e+03
1.868817610666155815e+00,7.831217480012770466e+03
1.882262341678142548e+00,7.919908735928629540e+03
1.895707072690129280e+00,8.122659078155257703e+03
1.909151803702116013e+00,8.243229117078677518e+03
1.922596534714102745e+00,8.249490781476415577e+03
1.936041265726089478e+00,8.167314791898608746e+03
1.949485996738076210e+00,7.961754212623121930e+03
1.962930727750062943e+00,7.675303838507960791e+03
1.976375458762049675e+00,7.464150668779418083e+03
1.989820189774036407e+00,7.283551955429265945e+03
2.003264920786023140e+00,7.258441160611087980e+03
2.016709651798009872e+00,7.299576261986685495e+03
2.030154382809996605e+00,7.451682473042895253e+03
2.043599113821983337e+00,7.612790038562179689e+03
2.057043844833970070e+00,7.670717176232181373e+03
2.070488575845956802e+00,7.603010621921403072e+03
2.083933306857943535e+00,7.463947827031002817e+03
2.097378037869930267e+00,7.221288987133034425e+03
2.110822768881917000e+00,7.014917375947849905e+03
2.124267499893903732e+00,6.856253866539436785e+03
2.137712230905890465e+00,6.807091102349923858e+03
2.151156961917877197e+00,6.876397814561069026e+03
2.164601692929863930e+00,6.972315415730015047e+03
2.178046423941850662e+00,7.132798025959376901e+03
2.191491154953837395e+00,7.243318880338239069e+03
2.204935885965824127e+00,7.222517696440476357e+03
2.218380616977810860e+00,7.090686625647298570e+03
2.231825347989797592e+00,6.914371494213504775e+03
2.245270079001784325e+00,6.692794491042856862e+03
2.258714810013771057e+00,6.549660109523949359e+03
2.272159541025757790e+00,6.470004683275852585e+03
2.285604272037744522e+00,6.543416740445621144e+03
2.299049003049731255e+00,6.646619993788174725e+03
2.312493734061717987e+00,6.763455179551420770e+03
2.325938465073704720e+00,6.896588050160324201e+03
2.339383196085691452e+00,6.943601403337668671e+03
2.352827927097678185e+00,6.843875546537075934e+03
2.366272658109664917e+00,6.681543419861964139e+03
2.379717389121651649e+00,6.500439594055996167e+03
2.393162120133638382e+00,6.332966709757640274e+03
2.406606851145625114e+00,6.262676023512903157e+03
2.420051582157611847e+00,6.292287558558969067e+03
2.433496313169598579e+00,6.436579369533381396e+03
2.446941044181585312e+00,6.534112765978523385e+03
2.460385775193572044e+00,6.665434850887744687e+03
2.473830506205558777e+00,6.742404501168172828e+03
2.487275237217545509e+00,6.722699680172227090e+03
2.500719968229532242e+00,6.554192786434581649e+03
2.514164699241518974e+00,6.402977164371176514e+03
2.527609430253505707e+00,6.218661093992650422e+03
2.541054161265492439e+00,6.126787444168704496e+03
2.554498892277479172e+00,6.120296877288816177e+03
2.567943623289465904e+00,6.244727745755286378e+03
2.581388354301452637e+00,6.373782354892508010e+03
2.594833085313439369e+00,6.486982371801945192e+03
2.608277816325426102e+00,6.581859178434759087e+03
2.621722547337412834e+00,6.611484900425110027e+03
2.635167278349399567e+00,6.511037604790029945e+03
2.648612009361386299e+00,6.334602221667180856e+03
2.662056740373373032e+00,6.189116117240549102e+03
2.675501471385359764e+00,6.049814898939094746e+03
2.688946202397346497e+00,6.036562095146986394e+03
2.702390933409333229e+00,6.105041954558126235e+03
2.715835664421319962e+00,6.264465164955405271e+03
2.729280395433306694e+00,6.374650700248941575e+03
2.742725126445293427e+00,6.499040966634370307e+03
2.756169857457280159e+00,6.530154102371374393e+03
2.769614588469266891e+00,6.512633643420243061e+03
2.783059319481253624e+00,6.339279086819164149e+03
2.796504050493240356e+00,6.192028585606521119e+03
2.809948781505227089e+00,6.037507859918914619e+03
2.823393512517213821e+00,5.980018952886578518e+03
2.836838243529200554e+00,6.010062652169720423e+03
2.850282974541187286e+00,6.136321619768560595e+03
2.863727705553174019e+00,6.272477176206360127e+03
2.877172436565160751e+00,6.403168464236953696e+03
2.890617167577147484e+00,6.471879255907236256e+03
2.904061898589134216e+00,6.471259720744826154e+03
2.917506629601120949e+00,6.373482433675002540e+03
2.930951360613107681e+00,6.193375383515571230e+03
2.944396091625094414e+00,6.061381103781066486e+03
2.957840822637081146e+00,5.954874974366265633e+03
2.971285553649067879e+00,5.968411904870203216e+03
2.984730284661054611e+00,6.044403373472445310e+03
2.998175015673041344e+00,6.194996722947642411e+03
3.011619746685028076e+00,6.326264003952805069e+03
3.025064477697014809e+00,6.452293859318710929e+03
3.038509208709001541e+00,6.455017744579077771e+03
3.051953939720988274e+00,6.409665791897016788e+03
3.065398670732975006e+00,6.241079285996780527e+03
3.078843401744961739e+00,6.088206582378217718e+03
3.092288132756948471e+00,5.960974514967781943e+03
3.105732863768935204e+00,5.932675723108984130e+03
3.119177594780921936e+00,5.975743748132206747e+03
3.132622325792908669e+00,6.093527075875080300e+03
3.146067056804895401e+00,6.239532080279959700e+03
3.159511787816882133e+00,6.380453574908754490e+03
3.172956518828868866e+00,6.444852567076106425e+03
3.186401249840855598e+00,6.407575716819683294e+03
3.199845980852842331e+00,6.286189521404656261e+03
